flowcell	kit	preset_model	ont_model
FLO-FLG111	SQK-PCS108	_	dna_r10.3_450bps
FLO-FLG111	SQK-PCS109	_	dna_r10.3_450bps
FLO-FLG111	SQK-PSK004	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAD002	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAD003	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAD004	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAS201	_	dna_r10.3_450bps
FLO-FLG111	SQK-RLI001	_	dna_r10.3_450bps
FLO-FLG111	SQK-ULK001	_	dna_r10.3_450bps
FLO-FLG111	VSK-VBK001	_	dna_r10.3_450bps
FLO-FLG111	VSK-VSK001	_	dna_r10.3_450bps
FLO-FLG111	VSK-VSK003	_	dna_r10.3_450bps
FLO-FLG111	SQK-16S024	_	dna_r10.3_450bps
FLO-FLG111	SQK-PCB109	_	dna_r10.3_450bps
FLO-FLG111	SQK-PCB110	_	dna_r10.3_450bps
FLO-FLG111	SQK-RBK001	_	dna_r10.3_450bps
FLO-FLG111	SQK-RBK004	_	dna_r10.3_450bps
FLO-FLG111	SQK-RBK110-96	_	dna_r10.3_450bps
FLO-FLG111	SQK-RLB001	_	dna_r10.3_450bps
FLO-FLG111	SQK-LWB001	_	dna_r10.3_450bps
FLO-FLG111	SQK-PBK004	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAB201	_	dna_r10.3_450bps
FLO-FLG111	SQK-RAB204	_	dna_r10.3_450bps
FLO-FLG111	SQK-RPB004	_	dna_r10.3_450bps
FLO-FLG111	VSK-PTC001	_	dna_r10.3_450bps
FLO-FLG111	VSK-VMK001	_	dna_r10.3_450bps
FLO-MIN111	SQK-CS9109	_	dna_r10.3_450bps
FLO-MIN111	SQK-DCS108	_	dna_r10.3_450bps
FLO-MIN111	SQK-DCS109	_	dna_r10.3_450bps
FLO-MIN111	SQK-LRK001	_	dna_r10.3_450bps
FLO-MIN111	SQK-LSK108	_	dna_r10.3_450bps
FLO-MIN111	SQK-LSK109	_	dna_r10.3_450bps
FLO-MIN111	SQK-LSK109-XL	_	dna_r10.3_450bps
FLO-MIN111	SQK-LSK110	_	dna_r10.3_450bps
FLO-MIN111	SQK-LSK110-XL	_	dna_r10.3_450bps
FLO-MIN111	SQK-LWP001	_	dna_r10.3_450bps
FLO-MIN111	SQK-PCS108	_	dna_r10.3_450bps
FLO-MIN111	SQK-PCS109	_	dna_r10.3_450bps
